host_timestamp_us,samples_per_second
1781852212280789,114
1781852213282225,107
1781852214282600,112
1781852215290277,116
1781852216295863,113
1781852217298824,116
1781852218303580,115
1781852219310085,101
1781852220311684,101
1781852221322153,103
1781852222325402,101
1781852223328984,105
1781852224338251,106
1781852225340105,106
1781852226349402,104
1781852227351077,113
1781852228353058,113
1781852229358335,103
1781852230363149,106
1781852231369755,103
1781852232370695,100
1781852233372337,114
1781852234380902,107
1781852235382091,101
1781852236390043,105
1781852237391616,102
1781852238401402,109
1781852239409147,105
1781852240410051,101
1781852241413739,109
1781852242418772,107
1781852243422267,104
1781852244429836,110
1781852245443383,111
1781852246453166,111
1781852247461523,112
1781852248461539,112
1781852249468880,105
1781852250469183,103
1781852251478351,102
1781852252479779,101
1781852253488765,104
1781852254492223,104
1781852255506103,118
1781852256511223,108
1781852257520181,107
1781852258521306,106
1781852259529854,108
1781852260532951,102
1781852261543053,107
1781852262550029,107
1781852263555438,105
1781852264561671,108
1781852265569240,104
1781852266570001,110
1781852267604620,56
1781852268609074,78
1781852269991796,123
1781852270992574,77
