ts_us,kind,free_B,min_free_since_boot_B,largest_block_B,stack_headroom_B,cpu_percent
1781849866226929,heap,222196,217476,110592,,
1781849866227928,stack,,,,4124,
1781849867225076,heap,222196,196788,110592,,
1781849867229323,stack,,,,4124,
1781849868234366,heap,220016,196788,110592,,
1781849868235130,stack,,,,4124,
1781849869233135,heap,222372,196788,110592,,
1781849869234411,stack,,,,4124,
1781849870234241,cpu,,,,,46.500
1781849871242860,heap,222156,196788,110592,,
1781849871244113,stack,,,,4124,
1781849872240252,heap,221976,196788,110592,,
1781849872241000,stack,,,,4124,
1781849873242831,heap,222156,189580,110592,,
1781849873243904,stack,,,,4124,
1781849874241647,heap,222156,189580,110592,,
1781849874244571,stack,,,,4124,
1781849875245268,heap,222156,189580,110592,,
1781849875254717,stack,,,,4124,
1781849876258347,cpu,,,,,51.900
1781849877260194,heap,222156,189580,110592,,
1781849877261118,stack,,,,4124,
1781849878261091,heap,222156,189580,110592,,
1781849878261570,stack,,,,4124,
1781849879263599,heap,222040,189580,110592,,
1781849879264082,stack,,,,4124,
1781849880274706,heap,221976,189580,110592,,
1781849880282817,stack,,,,4124,
1781849881281832,heap,222156,189580,110592,,
1781849881282585,stack,,,,4124,
1781849882282530,cpu,,,,,45.400
1781849883285768,heap,221976,189580,110592,,
1781849883286827,stack,,,,4124,
1781849884295207,stack,,,,4124,
1781849885291258,heap,222156,189580,110592,,
1781849885292083,stack,,,,4124,
1781849886294361,heap,221976,189580,110592,,
1781849886294839,stack,,,,4124,
1781849887294911,heap,221976,189580,110592,,
1781849888301877,cpu,,,,,49.100
1781849889303915,heap,222156,189580,110592,,
1781849889304279,stack,,,,4124,
1781849890305838,heap,221976,189580,110592,,
1781849890309249,stack,,,,4124,
1781849891310743,heap,222156,189580,110592,,
1781849891311287,stack,,,,4124,
1781849892311203,heap,222156,189580,110592,,
1781849892311502,stack,,,,4124,
1781849893315309,heap,221976,189580,110592,,
1781849894321139,cpu,,,,,48.500
1781849895322753,heap,222156,189580,110592,,
1781849895323837,stack,,,,4124,
1781849896329109,heap,221976,189580,110592,,
1781849896332932,stack,,,,4124,
1781849897336871,heap,221976,189580,110592,,
1781849897341231,stack,,,,4124,
1781849898342832,heap,222156,189580,110592,,
1781849898344054,stack,,,,4124,
1781849899346272,heap,221976,189580,110592,,
1781849899353683,stack,,,,4124,
1781849900358355,cpu,,,,,51.300
1781849901367426,heap,221976,189580,110592,,
1781849901371959,stack,,,,4124,
1781849902372103,heap,222156,189580,110592,,
1781849902372985,stack,,,,4124,
1781849903374915,heap,221976,189580,110592,,
1781849903380011,stack,,,,4124,
1781849904382591,heap,222164,189580,110592,,
1781849904383637,stack,,,,4124,
1781849905388846,heap,221984,189580,110592,,
1781849906394978,cpu,,,,,47.200
1781849907396572,heap,221804,189580,110592,,
1781849907397608,stack,,,,4124,
1781849908399542,heap,221984,189580,110592,,
1781849908400024,stack,,,,4124,
1781849909404992,heap,221984,189580,110592,,
1781849910407199,heap,222164,189580,110592,,
1781849910416432,stack,,,,4124,
1781849911415377,heap,222164,189580,110592,,
1781849911424850,stack,,,,4124,
1781849912427349,cpu,,,,,47.300
1781849913429468,heap,222164,189580,110592,,
1781849913429821,stack,,,,4124,
1781849914430887,heap,222164,189580,110592,,
1781849914431713,stack,,,,4124,
1781849915431794,heap,222164,189580,110592,,
1781849915432066,stack,,,,4124,
1781849916434369,heap,221984,189580,110592,,
1781849916435580,stack,,,,4124,
1781849917434775,heap,222164,189580,110592,,
1781849917435838,stack,,,,4124,
1781849918442376,cpu,,,,,47.500
1781849919444319,heap,221984,189580,110592,,
1781849919454415,stack,,,,4124,
1781849920448629,heap,221984,189580,110592,,
1781849920448980,stack,,,,4124,
1781849921450065,heap,222164,189580,110592,,
1781849921450608,stack,,,,4124,
1781849922451823,heap,222164,189580,110592,,
1781849922452971,stack,,,,4124,
1781849923458764,heap,222164,189580,110592,,
1781849923459289,stack,,,,4124,
1781849924470536,cpu,,,,,53.200
