ts_us,kind,free_B,min_free_since_boot_B,largest_block_B,stack_headroom_B,cpu_percent
1781849956406515,heap,222196,215288,110592,,
1781849956407404,stack,,,,4124,
1781849957412868,heap,222376,215204,110592,,
1781849957414111,stack,,,,4124,
1781849958413373,heap,222376,215204,110592,,
1781849958414618,stack,,,,4124,
1781849959416914,heap,220012,213076,110592,,
1781849959417683,stack,,,,4124,
1781849960420694,cpu,,,,,45.800
1781849961422038,heap,222156,213076,110592,,
1781849961423227,stack,,,,4124,
1781849962425853,heap,219612,213076,110592,,
1781849962427049,stack,,,,4124,
1781849963424858,heap,221976,213076,110592,,
1781849963425566,stack,,,,4124,
1781849964426784,heap,222156,213076,110592,,
1781849964434407,stack,,,,4124,
1781849965431953,heap,222156,210444,110592,,
1781849965432947,stack,,,,4124,
1781849966431948,cpu,,,,,48.800
1781849967435153,heap,221976,210444,110592,,
1781849967435417,stack,,,,4124,
1781849968437559,heap,222156,210444,110592,,
1781849969442967,heap,222156,210444,110592,,
1781849969444057,stack,,,,4124,
1781849970442013,heap,222156,210444,110592,,
1781849970442252,stack,,,,4124,
1781849971449832,heap,219792,210444,110592,,
1781849971450995,stack,,,,4124,
1781849972450966,cpu,,,,,46.800
1781849973450131,heap,222156,210444,110592,,
1781849973450285,stack,,,,4124,
1781849974452440,heap,222156,210444,110592,,
1781849974453549,stack,,,,4124,
1781849975452137,heap,221976,210444,110592,,
1781849975452384,stack,,,,4124,
1781849976455666,heap,219792,210444,110592,,
1781849976455955,stack,,,,4124,
1781849977461690,heap,219792,210444,110592,,
1781849977462689,stack,,,,4124,
1781849978460856,cpu,,,,,47.400
1781849979462344,heap,222156,210444,110592,,
1781849979462838,stack,,,,4124,
1781849980463748,heap,221976,210444,110592,,
1781849980464536,stack,,,,4124,
1781849981465693,heap,221976,210444,110592,,
1781849981466774,stack,,,,4124,
1781849982472982,heap,219792,210444,110592,,
1781849982473758,stack,,,,4124,
1781849983474004,heap,219792,210444,110592,,
1781849983475049,stack,,,,4124,
1781849984473182,cpu,,,,,47.100
1781849985476698,heap,222156,210444,110592,,
1781849985480041,stack,,,,4124,
1781849986482210,heap,222156,210444,110592,,
1781849986483298,stack,,,,4124,
1781849987482920,heap,222156,210444,110592,,
1781849987483698,stack,,,,4124,
1781849988484975,heap,221976,210444,110592,,
1781849988485695,stack,,,,4124,
1781849989486388,heap,222156,210444,110592,,
1781849990490688,cpu,,,,,48.200
1781849991492612,heap,222156,210444,110592,,
1781849991493528,stack,,,,4124,
1781849992494470,heap,221976,210444,110592,,
1781849992495190,stack,,,,4124,
1781849993496084,heap,222156,210444,110592,,
1781849993503499,stack,,,,4124,
1781849994502767,heap,222164,210444,110592,,
1781849994503857,stack,,,,4124,
1781849995501830,heap,222164,210444,110592,,
1781849995502583,stack,,,,4124,
1781849996503754,cpu,,,,,46.800
1781849997510439,heap,219804,210444,110592,,
1781849997511343,stack,,,,4124,
1781849998510866,heap,222164,210444,110592,,
1781849998511815,stack,,,,4124,
1781849999512460,heap,222164,210444,110592,,
1781849999513489,stack,,,,4124,
1781850000513256,heap,222164,210444,110592,,
1781850000514453,stack,,,,4124,
1781850001514854,heap,221984,210444,110592,,
1781850001515674,stack,,,,4124,
1781850002521752,cpu,,,,,47.900
1781850003522410,heap,219804,210444,110592,,
1781850003523763,stack,,,,4124,
1781850004526969,heap,219804,210444,110592,,
1781850004528167,stack,,,,4124,
1781850005531405,heap,219804,210444,110592,,
1781850005532594,stack,,,,4124,
1781850006530736,heap,222164,210444,110592,,
1781850006531588,stack,,,,4124,
1781850007531715,heap,222164,210444,110592,,
1781850007532496,stack,,,,4124,
1781850008532956,cpu,,,,,46.800
1781850009542076,heap,219804,210444,110592,,
1781850009543289,stack,,,,4124,
1781850010540386,heap,222164,210444,110592,,
1781850010541195,stack,,,,4124,
1781850011541390,heap,222164,210444,110592,,
1781850011542203,stack,,,,4124,
1781850012541925,heap,222164,210444,110592,,
1781850012542181,stack,,,,4124,
1781850013545819,heap,221984,210444,110592,,
1781850013547483,stack,,,,4124,
1781850014551760,cpu,,,,,46.900
