ts_us,kind,free_B,min_free_since_boot_B,largest_block_B,stack_headroom_B,cpu_percent
1781850569753718,heap,213080,213080,110592,,
1781850569754348,stack,,,,4124,
1781850570752606,heap,222276,199204,110592,,
1781850570752928,stack,,,,4124,
1781850571755805,heap,222196,199204,110592,,
1781850571756402,stack,,,,4124,
1781850572756760,heap,222272,199204,110592,,
1781850572757777,stack,,,,4124,
1781850573774741,cpu,,,,,54.400
1781850574777309,heap,221972,199204,110592,,
1781850574778290,stack,,,,4124,
1781850575781266,heap,219792,199204,110592,,
1781850575781988,stack,,,,4124,
1781850576783470,heap,222152,199204,110592,,
1781850576784048,stack,,,,4124,
1781850577782653,heap,221792,199204,110592,,
1781850577783131,stack,,,,4124,
1781850578784492,heap,221792,199204,110592,,
1781850578785157,stack,,,,4124,
1781850579788781,cpu,,,,,54.700
1781850580789636,heap,221792,199204,110592,,
1781850580790325,stack,,,,4124,
1781850581793233,heap,217300,199204,110592,,
1781850581794178,stack,,,,4124,
1781850582796102,heap,219792,199204,110592,,
1781850582796653,stack,,,,4124,
1781850583799178,heap,219792,199204,110592,,
1781850583799778,stack,,,,4124,
1781850584804532,heap,219612,199204,110592,,
1781850584805243,stack,,,,4124,
1781850585807687,cpu,,,,,50.300
1781850586813424,heap,217480,199204,110592,,
1781850586814873,stack,,,,4124,
1781850587813444,heap,221792,199204,110592,,
1781850587814616,stack,,,,4124,
1781850588815872,heap,219792,199204,110592,,
1781850588816239,stack,,,,4124,
1781850589815998,heap,221972,199204,110592,,
1781850589816307,stack,,,,4124,
1781850590859775,heap,219792,199204,110592,,
1781850590860502,stack,,,,4124,
1781850591857545,cpu,,,,,64.800
1781850592870274,heap,217300,199204,110592,,
1781850592870814,stack,,,,4124,
1781850593896817,heap,214988,199204,110592,,
1781850593897315,stack,,,,4124,
1781850594906657,heap,219612,199204,110592,,
1781850594906968,stack,,,,4124,
1781850595907907,heap,221792,196492,110592,,
1781850595908489,stack,,,,4124,
1781850596910580,heap,222152,196492,110592,,
1781850596911465,stack,,,,4124,
1781850597911170,cpu,,,,,2.200
1781850598914137,heap,222152,196492,110592,,
1781850599920087,heap,221792,196492,110592,,
1781850599921080,stack,,,,4124,
1781850600920284,heap,222152,196492,110592,,
1781850600921387,stack,,,,4124,
1781850601921185,heap,221792,196492,110592,,
1781850601922541,stack,,,,4124,
1781850602922608,heap,221792,196492,110592,,
1781850602923907,stack,,,,4124,
1781850603928476,cpu,,,,,61.200
1781850604987429,stack,,,,4124,
1781850606000257,heap,217300,194120,110592,,
1781850606000736,stack,,,,4124,
1781850607001565,heap,221952,194120,110592,,
1781850607002029,stack,,,,4124,
1781850608012092,heap,201304,194120,110592,,
1781850608012488,stack,,,,4124,
1781850609015595,heap,219800,194120,110592,,
1781850609016179,stack,,,,4124,
1781850610019042,cpu,,,,,74.000
1781850611024909,heap,219800,194120,110592,,
1781850611025792,stack,,,,4124,
1781850612030946,heap,219800,194120,110592,,
1781850612032160,stack,,,,4124,
1781850613031213,heap,217488,194120,110592,,
1781850613031872,stack,,,,4124,
1781850614034811,heap,219800,194120,110592,,
1781850614035127,stack,,,,4124,
1781850615042294,heap,219848,194120,110592,,
1781850615042608,stack,,,,4124,
1781850616042407,cpu,,,,,73.300
1781850617044574,heap,222160,194120,110592,,
1781850617044973,stack,,,,4124,
1781850618045499,heap,222160,194120,110592,,
1781850618045774,stack,,,,4124,
1781850619048901,heap,222060,194120,110592,,
1781850619049278,stack,,,,4124,
1781850620053694,heap,219800,194120,110592,,
1781850620054262,stack,,,,4124,
1781850621053717,heap,221980,194120,110592,,
1781850621054096,stack,,,,4124,
1781850622057801,cpu,,,,,74.800
1781850623058635,heap,222160,194120,110592,,
1781850623059081,stack,,,,4124,
1781850624062118,heap,222160,194120,110592,,
1781850625068924,heap,222044,194120,110592,,
1781850625070395,stack,,,,4124,
1781850626070758,heap,219800,194120,110592,,
1781850626071130,stack,,,,4124,
1781850627073445,heap,219800,194120,110592,,
1781850627073870,stack,,,,4124,
1781850628075457,cpu,,,,,38.800
