ts_us,kind,free_B,min_free_since_boot_B,largest_block_B,stack_headroom_B,cpu_percent
1781850807104545,heap,222196,212976,110592,,
1781850807104940,stack,,,,4124,
1781850808105461,heap,222196,212976,110592,,
1781850808110596,stack,,,,4124,
1781850809109255,heap,222376,212976,110592,,
1781850809109615,stack,,,,4124,
1781850810111769,heap,222376,212976,110592,,
1781850810112949,stack,,,,4124,
1781850811117745,cpu,,,,,47.800
1781850812121579,heap,219792,212532,110592,,
1781850812122346,stack,,,,4124,
1781850813122323,heap,222156,212532,110592,,
1781850813123150,stack,,,,4124,
1781850814123692,heap,221976,212532,110592,,
1781850814124074,stack,,,,4124,
1781850815127689,heap,217480,212532,110592,,
1781850815128224,stack,,,,4124,
1781850816129226,heap,219792,212532,110592,,
1781850816129643,stack,,,,4124,
1781850817129852,cpu,,,,,52.500
1781850818131701,heap,222156,194016,110592,,
1781850818132101,stack,,,,4124,
1781850819135062,heap,217480,194016,110592,,
1781850819135458,stack,,,,4124,
1781850820138323,heap,219792,194016,110592,,
1781850820138657,stack,,,,4124,
1781850821145933,heap,217480,194016,110592,,
1781850821146901,stack,,,,4124,
1781850822148507,heap,219792,194016,110592,,
1781850822149011,stack,,,,4124,
1781850823149789,cpu,,,,,48.700
1781850824153067,heap,222156,194016,110592,,
1781850824153976,stack,,,,4124,
1781850825153016,heap,222040,194016,110592,,
1781850825153562,stack,,,,4124,
1781850826156026,heap,222156,194016,110592,,
1781850827160591,heap,222056,194016,110592,,
1781850827161449,stack,,,,4124,
1781850828161244,heap,222156,194016,110592,,
1781850828161895,stack,,,,4124,
1781850829164214,cpu,,,,,48.800
1781850830171870,heap,219792,194016,110592,,
1781850830173060,stack,,,,4124,
1781850831169740,heap,222156,194016,110592,,
1781850831170271,stack,,,,4124,
1781850832175612,heap,219792,194016,110592,,
1781850832176706,stack,,,,4124,
1781850833174422,heap,221976,194016,110592,,
1781850833175115,stack,,,,4124,
1781850834174645,heap,221976,194016,110592,,
1781850834175638,stack,,,,4124,
1781850835182068,cpu,,,,,50.600
1781850836181275,heap,222156,194016,110592,,
1781850836182510,stack,,,,4124,
1781850837180764,heap,222156,194016,110592,,
1781850837181317,stack,,,,4124,
1781850838182915,heap,222156,194016,110592,,
1781850838184197,stack,,,,4124,
1781850839183084,heap,222040,194016,110592,,
1781850839183405,stack,,,,4124,
1781850840185411,heap,222156,194016,110592,,
1781850841191330,cpu,,,,,49.500
1781850842191159,heap,222156,194016,110592,,
1781850842191530,stack,,,,4124,
1781850843193223,heap,221976,194016,110592,,
1781850843193516,stack,,,,4124,
1781850844195158,heap,222156,194016,110592,,
1781850845199310,heap,222056,194016,110592,,
1781850845199567,stack,,,,4124,
1781850846200439,heap,222156,194016,110592,,
1781850846200880,stack,,,,4124,
1781850847211578,cpu,,,,,50.000
1781850848211772,heap,222156,194016,110592,,
1781850848212895,stack,,,,4124,
1781850849209686,heap,222156,194016,110592,,
1781850849210385,stack,,,,4124,
1781850850211745,heap,222156,194016,110592,,
1781850850213024,stack,,,,4124,
1781850851212210,heap,222156,194016,110592,,
1781850851212970,stack,,,,4124,
1781850852213421,heap,221976,194016,110592,,
1781850852213869,stack,,,,4124,
1781850853219961,cpu,,,,,52.100
1781850854219749,heap,222156,194016,110592,,
1781850854220376,stack,,,,4124,
1781850855219936,heap,222156,194016,110592,,
1781850855220202,stack,,,,4124,
1781850856222630,heap,222156,194016,110592,,
1781850856223410,stack,,,,4124,
1781850857225280,heap,221976,194016,110592,,
1781850857226415,stack,,,,4124,
1781850858224034,heap,221976,194016,110592,,
1781850858224823,stack,,,,4124,
1781850859228634,cpu,,,,,52.600
1781850860235212,heap,222116,194016,110592,,
1781850860236474,stack,,,,4124,
1781850861231129,heap,222156,194016,110592,,
1781850861231426,stack,,,,4124,
1781850862234416,heap,221976,194016,110592,,
1781850862235651,stack,,,,4124,
1781850863235111,heap,222156,194016,110592,,
1781850864240511,heap,222156,194016,110592,,
1781850864241017,stack,,,,4124,
1781850865240742,cpu,,,,,48.600
