ts_us,kind,free_B,min_free_since_boot_B,largest_block_B,stack_headroom_B,cpu_percent
1781707449668622,heap,202808,202480,110592,,
1781707449673598,stack,,,,4588,
1781707450671738,heap,202584,197380,110592,,
1781707450675686,stack,,,,4108,
1781707451672129,heap,202584,197380,110592,,
1781707451675665,stack,,,,4108,
1781707452672153,heap,202584,197380,110592,,
1781707452675727,stack,,,,4108,
1781707453671594,heap,202584,197380,110592,,
1781707453675400,stack,,,,4108,
1781707454666497,cpu,,,,,1.100
1781707455672160,heap,202368,197380,110592,,
1781707455675759,stack,,,,4108,
1781707456672091,heap,202368,197380,110592,,
1781707456676030,stack,,,,4108,
1781707457673051,heap,201728,197380,110592,,
1781707457676758,stack,,,,4108,
1781707458672198,heap,202368,197380,110592,,
1781707458675796,stack,,,,4108,
1781707459671977,heap,202368,197380,110592,,
1781707459675690,stack,,,,4108,
1781707460666844,cpu,,,,,0.700
1781707461671882,heap,202368,195476,110592,,
1781707461675750,stack,,,,4108,
1781707462671513,heap,202368,195476,110592,,
1781707462674956,stack,,,,4108,
1781707463672169,heap,202368,195476,110592,,
1781707463675821,stack,,,,4108,
1781707464672032,heap,202368,195476,110592,,
1781707464675661,stack,,,,4108,
1781707465672153,heap,202368,195476,110592,,
1781707465675720,stack,,,,4108,
1781707466666270,cpu,,,,,0.600
1781707467671832,heap,202368,195476,110592,,
1781707467675721,stack,,,,4108,
1781707468671897,heap,202368,195476,110592,,
1781707468675836,stack,,,,4108,
1781707469672348,heap,202368,195476,110592,,
1781707469676006,stack,,,,4108,
1781707470672016,heap,202368,195476,110592,,
1781707470675722,stack,,,,4108,
1781707471672437,heap,202368,195476,110592,,
1781707471675904,stack,,,,4108,
1781707472666212,cpu,,,,,0.700
1781707473671882,heap,202368,195476,110592,,
1781707473675703,stack,,,,3996,
1781707474671330,heap,202368,195476,110592,,
1781707474675286,stack,,,,3996,
1781707475672324,heap,202368,195476,110592,,
1781707475675916,stack,,,,3996,
1781707476671323,heap,202368,195476,110592,,
1781707476675478,stack,,,,3996,
1781707477696912,heap,201728,195464,110592,,
1781707477700071,stack,,,,3996,
1781707478686750,cpu,,,,,0.800
1781707479692670,heap,202368,195464,110592,,
1781707479696274,stack,,,,3996,
1781707480692104,heap,202368,195464,110592,,
1781707480696099,stack,,,,3996,
1781707481692548,heap,202368,195464,110592,,
1781707481696400,stack,,,,3996,
1781707482692278,heap,202368,195464,110592,,
1781707482696126,stack,,,,3996,
1781707483692820,heap,202368,195464,110592,,
1781707483696216,stack,,,,3996,
1781707484686857,cpu,,,,,1.800
1781707485692622,heap,202368,195464,110592,,
1781707485696390,stack,,,,3996,
1781707486692729,heap,202368,195464,110592,,
1781707486696621,stack,,,,3996,
1781707487692048,heap,202368,195464,110592,,
1781707487695986,stack,,,,3996,
1781707488691601,heap,202368,195464,110592,,
1781707488695665,stack,,,,3996,
1781707489692909,heap,202368,195464,110592,,
1781707489696804,stack,,,,3996,
1781707490686827,cpu,,,,,1.700
1781707491692786,heap,202368,195464,110592,,
1781707491696080,stack,,,,3996,
1781707492692485,heap,202368,195464,110592,,
1781707492696517,stack,,,,3996,
1781707493692344,heap,202368,195464,110592,,
1781707493695944,stack,,,,3996,
1781707494692758,heap,202368,195464,110592,,
1781707494696019,stack,,,,3996,
1781707495692708,heap,202368,195464,110592,,
1781707495696549,stack,,,,3996,
1781707496687156,cpu,,,,,0.900
1781707497692894,heap,202368,195464,110592,,
1781707497696502,stack,,,,3996,
1781707498692222,heap,202368,195464,110592,,
1781707498696065,stack,,,,3996,
1781707499692153,heap,202368,195464,110592,,
1781707499696108,stack,,,,3996,
1781707500693129,heap,202368,195464,110592,,
1781707500696750,stack,,,,3996,
1781707501715254,heap,202048,195464,110592,,
1781707501719834,stack,,,,3996,
1781707502707468,cpu,,,,,0.600
1781707503712111,heap,202368,195464,110592,,
1781707503716146,stack,,,,3996,
1781707504712592,heap,202368,195464,110592,,
1781707504716338,stack,,,,3996,
1781707505712222,heap,202368,195464,110592,,
1781707505716350,stack,,,,3996,
1781707506712214,heap,202368,195464,110592,,
1781707506716314,stack,,,,3996,
1781707507712465,heap,202368,195464,110592,,
1781707507716634,stack,,,,3996,
1781707508707034,cpu,,,,,4.300
