ts_us,kind,free_B,min_free_since_boot_B,largest_block_B,stack_headroom_B,cpu_percent
1781615842187732,heap,223072,222448,110592,,
1781615842198855,stack,,,,4652,
1781615843189287,heap,218432,217728,110592,,
1781615843192829,stack,,,,4508,
1781615844189114,heap,223020,217728,110592,,
1781615844192718,stack,,,,4508,
1781615845189130,heap,223020,217728,110592,,
1781615845192678,stack,,,,4508,
1781615846189429,heap,223020,217728,110592,,
1781615846192742,stack,,,,4508,
1781615847183872,cpu,,,,,2.300
1781615848189296,heap,222804,217728,110592,,
1781615848192774,stack,,,,4508,
1781615849188968,heap,222804,217728,110592,,
1781615849192754,stack,,,,4508,
1781615850189211,heap,222804,217728,110592,,
1781615850192868,stack,,,,4508,
1781615851189362,heap,222804,217728,110592,,
1781615851193057,stack,,,,4508,
1781615852220502,heap,222804,217728,110592,,
1781615852223943,stack,,,,4508,
1781615853213471,cpu,,,,,0.400
1781615854219301,heap,222804,217728,110592,,
1781615854223030,stack,,,,4508,
1781615855219573,heap,222804,217728,110592,,
1781615855223202,stack,,,,4508,
1781615856219128,heap,222804,217728,110592,,
1781615856223050,stack,,,,4508,
1781615857219076,heap,222804,217728,110592,,
1781615857222960,stack,,,,4508,
1781615858219343,heap,222804,217728,110592,,
1781615858223086,stack,,,,4508,
1781615859213109,cpu,,,,,0.500
1781615860218871,heap,222804,217728,110592,,
1781615860223055,stack,,,,4508,
1781615861219232,heap,222804,217728,110592,,
1781615861222902,stack,,,,4508,
1781615862219426,heap,222804,217728,110592,,
1781615862223594,stack,,,,4508,
1781615863219142,heap,222804,217728,110592,,
1781615863223075,stack,,,,4508,
1781615864219188,heap,222804,217728,110592,,
1781615864222937,stack,,,,4508,
1781615865212913,cpu,,,,,2.500
1781615866219279,heap,222804,217728,110592,,
1781615866223272,stack,,,,4508,
1781615867219265,heap,222804,217728,110592,,
1781615867223540,stack,,,,4508,
1781615868218453,heap,222804,217728,110592,,
1781615868222436,stack,,,,4508,
1781615869218523,heap,222804,217728,110592,,
1781615869222463,stack,,,,4508,
1781615870219230,heap,222804,217728,110592,,
1781615870223075,stack,,,,4508,
1781615871213684,cpu,,,,,0.400
1781615872219255,heap,222804,217728,110592,,
1781615872223238,stack,,,,4508,
1781615873218953,heap,222804,217728,110592,,
1781615873223083,stack,,,,4508,
1781615874218750,heap,222804,217728,110592,,
1781615874222760,stack,,,,4508,
1781615875218529,heap,222804,217728,110592,,
1781615875222618,stack,,,,4508,
1781615876218466,heap,222804,217728,110592,,
1781615876222537,stack,,,,4508,
1781615877214770,cpu,,,,,0.400
1781615878219111,heap,222804,217728,110592,,
1781615878223087,stack,,,,4508,
1781615879218611,heap,222804,217728,110592,,
1781615879222773,stack,,,,4508,
1781615880218468,heap,222804,217728,110592,,
1781615880222578,stack,,,,4508,
1781615881218566,heap,222804,217728,110592,,
1781615881222537,stack,,,,4508,
1781615882219534,heap,222804,217728,110592,,
1781615882223444,stack,,,,4508,
1781615883213621,cpu,,,,,0.400
1781615884219124,heap,222804,217728,110592,,
1781615884223020,stack,,,,4508,
1781615885219211,heap,222804,217728,110592,,
1781615885223091,stack,,,,4508,
1781615886219086,heap,222804,217728,110592,,
1781615886223331,stack,,,,4508,
1781615887219502,heap,222804,217728,110592,,
1781615887223232,stack,,,,4508,
1781615888218722,heap,222804,217728,110592,,
1781615888223386,stack,,,,4508,
1781615889213680,cpu,,,,,0.400
1781615890219262,heap,222804,217728,110592,,
1781615890223409,stack,,,,4508,
1781615891219807,heap,222804,217728,110592,,
1781615891223483,stack,,,,4508,
1781615892219152,heap,222804,217728,110592,,
1781615892223350,stack,,,,4508,
1781615893218512,heap,222804,217728,110592,,
1781615893222477,stack,,,,4508,
1781615894219017,heap,222804,217728,110592,,
1781615894222713,stack,,,,4508,
1781615895213503,cpu,,,,,0.400
1781615896219675,heap,222804,217728,110592,,
1781615896223515,stack,,,,4508,
1781615897219444,heap,222804,217728,110592,,
1781615897223403,stack,,,,4508,
1781615898218594,heap,222804,217728,110592,,
1781615898222542,stack,,,,4508,
1781615899219190,heap,222804,217728,110592,,
1781615899223413,stack,,,,4508,
