ts_us,kind,free_B,min_free_since_boot_B,largest_block_B,stack_headroom_B,cpu_percent
1781686560972500,heap,223072,222448,110592,,
1781686560983686,stack,,,,4652,
1781686561974354,heap,218432,217952,110592,,
1781686561978273,stack,,,,4508,
1781686562973666,heap,223020,217952,110592,,
1781686562977719,stack,,,,4508,
1781686563973616,heap,223020,217952,110592,,
1781686563977717,stack,,,,4508,
1781686564973538,heap,223020,217952,110592,,
1781686564977586,stack,,,,4508,
1781686565968751,cpu,,,,,0.200
1781686566973671,heap,222804,217952,110592,,
1781686566977486,stack,,,,4508,
1781686567973335,heap,222804,217952,110592,,
1781686567977627,stack,,,,4508,
1781686568973478,heap,222804,217952,110592,,
1781686568977451,stack,,,,4508,
1781686569973625,heap,222804,217952,110592,,
1781686569977631,stack,,,,4508,
1781686570973554,heap,222804,213840,110592,,
1781686570977522,stack,,,,4508,
1781686571968054,cpu,,,,,0.200
1781686572973366,heap,222804,213840,110592,,
1781686572977709,stack,,,,4508,
1781686573973371,heap,222804,213840,110592,,
1781686573977653,stack,,,,4508,
1781686574973747,heap,222804,213840,110592,,
1781686574978021,stack,,,,4508,
1781686575973535,heap,222804,213840,110592,,
1781686575977681,stack,,,,4508,
1781686576972922,heap,222804,204076,110592,,
1781686576977057,stack,,,,4508,
1781686577967966,cpu,,,,,2.400
1781686578973421,heap,222804,204076,110592,,
1781686578977458,stack,,,,4508,
1781686579973346,heap,222804,204076,110592,,
1781686579977423,stack,,,,4508,
1781686580973295,heap,222804,204076,110592,,
1781686580977215,stack,,,,4508,
1781686581973410,heap,222804,204076,110592,,
1781686582007436,stack,,,,4508,
1781686583002960,heap,222804,204076,110592,,
1781686583006870,stack,,,,4508,
1781686583997238,cpu,,,,,0.200
1781686585003336,heap,222804,204076,110592,,
1781686585007579,stack,,,,4508,
1781686586003402,heap,222804,204076,110592,,
1781686586007198,stack,,,,4508,
1781686587002660,heap,222804,204076,110592,,
1781686587006620,stack,,,,4508,
1781686588003178,heap,222804,204076,110592,,
1781686588007045,stack,,,,4508,
1781686589002599,heap,222804,204076,110592,,
1781686589006593,stack,,,,4508,
1781686589997544,cpu,,,,,0.300
1781686591003702,heap,222804,204076,110592,,
1781686591007698,stack,,,,4508,
1781686592034944,heap,222804,204076,110592,,
1781686592039023,stack,,,,4508,
1781686593033528,heap,222804,204076,110592,,
1781686593037992,stack,,,,4508,
1781686594032625,heap,222804,204076,110592,,
1781686594037264,stack,,,,4508,
1781686595033463,heap,222804,204076,110592,,
1781686595037058,stack,,,,4508,
1781686596027827,cpu,,,,,36.100
1781686597033195,heap,222804,204076,110592,,
1781686597037059,stack,,,,4508,
1781686598073066,heap,219584,204076,110592,,
1781686598106627,stack,,,,4508,
1781686599133082,heap,222804,204076,110592,,
1781686599137003,stack,,,,4508,
1781686600133019,heap,222804,204076,110592,,
1781686600137290,stack,,,,4508,
1781686601133059,heap,222804,204076,110592,,
1781686601137260,stack,,,,4508,
1781686602127585,cpu,,,,,0.300
1781686603133149,heap,222804,204076,110592,,
1781686603137031,stack,,,,4508,
1781686604132995,heap,222804,204076,110592,,
1781686604136916,stack,,,,4508,
1781686605133173,heap,222804,204076,110592,,
1781686605136933,stack,,,,4508,
1781686606133125,heap,222804,204076,110592,,
1781686606137264,stack,,,,4508,
1781686607133055,heap,222804,204076,110592,,
1781686607137036,stack,,,,4508,
1781686608127268,cpu,,,,,0.200
1781686609133092,heap,222804,204076,110592,,
1781686609137320,stack,,,,4508,
1781686610132904,heap,222804,204076,110592,,
1781686610137097,stack,,,,4508,
1781686611132441,heap,222804,204076,110592,,
1781686611137059,stack,,,,4508,
1781686612157529,heap,220608,204076,110592,,
1781686612161346,stack,,,,4508,
1781686613153199,heap,222804,204076,110592,,
1781686613156708,stack,,,,4508,
1781686614147324,cpu,,,,,0.300
1781686615152690,heap,222804,204076,110592,,
1781686615156942,stack,,,,4508,
1781686616153086,heap,222804,204076,110592,,
1781686616156983,stack,,,,4508,
1781686617152932,heap,222804,204076,110592,,
1781686617156641,stack,,,,4508,
1781686618152045,heap,222804,204076,110592,,
1781686618156044,stack,,,,4508,
