ts_us,kind,free_B,min_free_since_boot_B,largest_block_B,stack_headroom_B,cpu_percent
1781552984243131,heap,223072,222448,110592,,
1781552984253871,stack,,,,4652,
1781552985244690,heap,218432,217944,110592,,
1781552985248375,stack,,,,4508,
1781552986244679,heap,223020,217944,110592,,
1781552986248360,stack,,,,4508,
1781552987243796,heap,223020,217944,110592,,
1781552987247676,stack,,,,4508,
1781552988244482,heap,223020,217944,110592,,
1781552988248236,stack,,,,4508,
1781552989239192,cpu,,,,,0.600
1781552990244554,heap,222804,217944,110592,,
1781552990248089,stack,,,,4508,
1781552991244424,heap,222804,217944,110592,,
1781552991279831,stack,,,,4508,
1781552992274569,heap,222804,217944,110592,,
1781552992278457,stack,,,,4508,
1781552993273966,heap,222804,217944,110592,,
1781552993278069,stack,,,,4508,
1781552994273879,heap,222804,217944,110592,,
1781552994277724,stack,,,,4508,
1781552995268542,cpu,,,,,2.600
1781552996274902,heap,222804,217944,110592,,
1781552996278420,stack,,,,4508,
1781552997274538,heap,222804,217944,110592,,
1781552997278567,stack,,,,4508,
1781552998274404,heap,222804,217944,110592,,
1781552998278271,stack,,,,4508,
1781552999274418,heap,222804,217944,110592,,
1781552999278173,stack,,,,4508,
1781553000274450,heap,222804,217944,110592,,
1781553000278232,stack,,,,4508,
1781553001268871,cpu,,,,,0.500
1781553002274291,heap,222804,217944,110592,,
1781553002277820,stack,,,,4508,
1781553003274469,heap,222804,217944,110592,,
1781553003278384,stack,,,,4508,
1781553004273775,heap,222804,217944,110592,,
1781553004277789,stack,,,,4508,
1781553005273643,heap,222804,217944,110592,,
1781553005307740,stack,,,,4508,
1781553006303888,heap,222804,217944,110592,,
1781553006307893,stack,,,,4508,
1781553007298798,cpu,,,,,0.400
1781553008303443,heap,222804,217944,110592,,
1781553008307567,stack,,,,4508,
1781553009303760,heap,222804,217944,110592,,
1781553009307565,stack,,,,4508,
1781553010303769,heap,222804,217944,110592,,
1781553010307799,stack,,,,4508,
1781553011304088,heap,222804,217944,110592,,
1781553011308050,stack,,,,4508,
1781553012304154,heap,222804,217944,110592,,
1781553012308108,stack,,,,4508,
1781553013297952,cpu,,,,,0.300
1781553014304294,heap,222804,217944,110592,,
1781553014308488,stack,,,,4508,
1781553015304007,heap,222804,217944,110592,,
1781553015307503,stack,,,,4508,
1781553016303677,heap,222804,217944,110592,,
1781553016307479,stack,,,,4508,
1781553017303946,heap,222804,217944,110592,,
1781553017307856,stack,,,,4508,
1781553018303818,heap,222804,217944,110592,,
1781553018308230,stack,,,,4508,
1781553019298687,cpu,,,,,0.300
1781553020304221,heap,222804,217944,110592,,
1781553020308162,stack,,,,4508,
1781553021304249,heap,222804,217944,110592,,
1781553021308059,stack,,,,4508,
1781553022304177,heap,222804,217944,110592,,
1781553022308134,stack,,,,4508,
1781553023304356,heap,222804,217944,110592,,
1781553023308057,stack,,,,4508,
1781553024304234,heap,222804,217944,110592,,
1781553024308087,stack,,,,4508,
1781553025298390,cpu,,,,,0.200
1781553026304648,heap,222804,217944,110592,,
1781553026308231,stack,,,,4508,
1781553027304087,heap,222804,217944,110592,,
1781553027308000,stack,,,,4508,
1781553028303894,heap,222804,217944,110592,,
1781553028309392,stack,,,,4508,
1781553029334429,heap,222804,217944,110592,,
1781553029338112,stack,,,,4508,
1781553030333928,heap,222804,217944,110592,,
1781553030337935,stack,,,,4508,
1781553031329040,cpu,,,,,0.300
1781553032334324,heap,222804,216200,110592,,
1781553032338188,stack,,,,4508,
1781553033333830,heap,222804,216200,110592,,
1781553033337936,stack,,,,4508,
1781553034334203,heap,222804,216200,110592,,
1781553034337890,stack,,,,4508,
1781553035334121,heap,222804,216200,110592,,
1781553035337843,stack,,,,4508,
1781553036333539,heap,222804,216200,110592,,
1781553036337413,stack,,,,4508,
1781553037328279,cpu,,,,,0.400
1781553038333544,heap,222804,216200,110592,,
1781553038337393,stack,,,,4508,
1781553039333876,heap,222804,216200,110592,,
1781553039337599,stack,,,,4508,
1781553040334224,heap,222804,216200,110592,,
1781553040337814,stack,,,,4508,
1781553041333260,heap,222804,216200,110592,,
1781553041337470,stack,,,,4508,
1781553042333494,heap,222804,216200,110592,,
