ts_us,kind,free_B,min_free_since_boot_B,largest_block_B,stack_headroom_B,cpu_percent
1781599060996020,heap,223072,222448,110592,,
1781599061007239,stack,,,,4652,
1781599061997454,heap,218432,217952,110592,,
1781599062001417,stack,,,,4508,
1781599062997640,heap,223020,217952,110592,,
1781599063001312,stack,,,,4508,
1781599063997454,heap,223020,217952,110592,,
1781599064001250,stack,,,,4508,
1781599064997439,heap,223020,217952,110592,,
1781599065001234,stack,,,,4508,
1781599065992209,cpu,,,,,0.400
1781599066997243,heap,222804,217952,110592,,
1781599067001092,stack,,,,4508,
1781599067997709,heap,222804,217952,110592,,
1781599068001279,stack,,,,4508,
1781599068997173,heap,222804,217952,110592,,
1781599069001307,stack,,,,4508,
1781599069996520,heap,222804,217952,110592,,
1781599070030920,stack,,,,4508,
1781599071027724,heap,222804,217952,110592,,
1781599071032923,stack,,,,4508,
1781599072052034,cpu,,,,,0.400
1781599073057738,heap,222804,217952,110592,,
1781599073061440,stack,,,,4508,
1781599074057725,heap,222804,217952,110592,,
1781599074092453,stack,,,,4508,
1781599075087321,heap,222804,217952,110592,,
1781599075091216,stack,,,,4508,
1781599076087237,heap,222804,217952,110592,,
1781599076091413,stack,,,,4508,
1781599077087368,heap,222804,217952,110592,,
1781599077091202,stack,,,,4508,
1781599078081569,cpu,,,,,0.400
1781599079087431,heap,222804,217952,110592,,
1781599079091175,stack,,,,4508,
1781599080087183,heap,222804,217952,110592,,
1781599080091528,stack,,,,4508,
1781599081086734,heap,222804,217952,110592,,
1781599081091031,stack,,,,4508,
1781599082087142,heap,222804,217952,110592,,
1781599082091055,stack,,,,4508,
1781599083087082,heap,222804,217952,110592,,
1781599083092627,stack,,,,4508,
1781599084112037,cpu,,,,,2.900
1781599085117567,heap,222804,214636,110592,,
1781599085151538,stack,,,,4508,
1781599086146936,heap,222804,214636,110592,,
1781599086151057,stack,,,,4508,
1781599087146984,heap,222804,214636,110592,,
1781599087151253,stack,,,,4508,
1781599088146893,heap,222804,214636,110592,,
1781599088151047,stack,,,,4508,
1781599089147189,heap,222804,214636,110592,,
1781599089151223,stack,,,,4508,
1781599090141523,cpu,,,,,0.400
1781599091146808,heap,222804,214636,110592,,
1781599091151057,stack,,,,4508,
1781599092146998,heap,222804,214636,110592,,
1781599092151027,stack,,,,4508,
1781599093147007,heap,222804,214636,110592,,
1781599093150896,stack,,,,4508,
1781599094147230,heap,222804,214636,110592,,
1781599094151095,stack,,,,4508,
1781599095147205,heap,222804,214636,110592,,
1781599095150943,stack,,,,4508,
1781599096141440,cpu,,,,,0.400
1781599097147028,heap,222804,214636,110592,,
1781599097150841,stack,,,,4508,
1781599098146897,heap,222804,214636,110592,,
1781599098150885,stack,,,,4508,
1781599099147044,heap,222804,214636,110592,,
1781599099150861,stack,,,,4508,
1781599100146951,heap,222804,214636,110592,,
1781599100150730,stack,,,,4508,
1781599101146789,heap,222804,214636,110592,,
1781599101181226,stack,,,,4508,
1781599102171357,cpu,,,,,0.400
1781599103177207,heap,222804,214636,110592,,
1781599103180915,stack,,,,4508,
1781599104177196,heap,222804,214636,110592,,
1781599104181087,stack,,,,4508,
1781599105176998,heap,222804,214636,110592,,
1781599105180835,stack,,,,4508,
1781599106176927,heap,222804,214636,110592,,
1781599106182270,stack,,,,4508,
1781599107206767,heap,222804,214636,110592,,
1781599107210700,stack,,,,4508,
1781599108200849,cpu,,,,,0.400
1781599109207011,heap,222804,214636,110592,,
1781599109210742,stack,,,,4508,
1781599110206405,heap,222804,214636,110592,,
1781599110210276,stack,,,,4508,
1781599111206997,heap,222804,214636,110592,,
1781599111210837,stack,,,,4508,
1781599112206149,heap,222804,214636,110592,,
1781599112210157,stack,,,,4508,
1781599113205924,heap,222804,214636,110592,,
1781599113209999,stack,,,,4508,
1781599114201223,cpu,,,,,2.400
1781599115206848,heap,222804,214636,110592,,
1781599115210993,stack,,,,4508,
1781599116206879,heap,222804,214636,110592,,
1781599116210736,stack,,,,4508,
1781599117207205,heap,222804,214636,110592,,
1781599117210519,stack,,,,4508,
1781599118206791,heap,222804,214636,110592,,
1781599118210595,stack,,,,4508,
