host_time,esp_timestamp,delta_us
1781708691070603,69239,1781708691001364
1781708691565375,561193,1781708691004182
1781708691996025,993981,1781708691002044
1781708692201647,1198432,1781708691003215
1781708692244928,1224717,1781708691020211
1781708692366463,1364612,1781708691001851
1781708693659726,2658228,1781708691001498
1781708693937898,2936790,1781708691001108
1781708694360576,3354097,1781708691006479
1781708694708669,3711617,1781708690997052
1781708694797538,3794218,1781708691003320
1781708695952600,4951542,1781708691001058
1781708696104014,5102188,1781708691001826
1781708696394015,5394213,1781708690999802
1781708696806733,5803233,1781708691003500
1781708696850565,5830312,1781708691020253
1781708697416943,6418692,1781708690998251
1781708698953757,7954252,1781708690999505
1781708699261705,8261489,1781708691000216
1781708699670772,8671043,1781708690999729
1781708699977455,8978339,1781708690999116
1781708701238934,10241011,1781708690997923
1781708701316614,10316082,1781708691000532
1781708701569309,10569698,1781708690999611
1781708701718952,10720262,1781708690998690
1781708701820605,10821494,1781708690999111
1781708702008011,11002533,1781708691005478
1781708702044353,11026322,1781708691018031
1781708702129100,11129224,1781708690999876
1781708702333087,11333576,1781708690999511
1781708703356523,12357518,1781708690999005
1781708704482901,13483999,1781708690998902
1781708704687196,13689065,1781708690998131
1781708704995781,13996046,1781708690999735
1781708710012119,19013730,1781708690998389
1781708710491456,19485780,1781708691005676
1781708711344538,20346420,1781708690998118
1781708717657241,26655804,1781708691001437
1781708718307390,27308339,1781708690999051
1781708718447776,27447212,1781708691000564
1781708720651658,29645607,1781708691006051
1781708723403292,32398493,1781708691004799
1781708724762513,33763753,1781708690998760
1781708727078921,36072666,1781708691006255
1781708730356066,39351527,1781708691004539
1781708731459402,40454602,1781708691004800
1781708732439399,41439881,1781708690999518
1781708732949594,41951893,1781708690997701
1781708733890540,42886028,1781708691004512
1781708735088913,44090580,1781708690998333
1781708735672186,44672847,1781708690999339
1781708736886628,45881785,1781708691004843
1781708736978360,45977303,1781708691001057
1781708738651033,47646419,1781708691004614
1781708742504175,51497740,1781708691006435
1781708746473305,55468144,1781708691005161
1781708747143487,56142762,1781708691000725
1781708748795033,57796735,1781708690998298
1781708748897109,57900735,1781708690996374
1781708749949812,58949744,1781708691000068
1781708749998504,58953048,1781708691045456
1781708750111014,59111416,1781708690999598
1781708750155307,59111509,1781708691043798
1781708750202536,59111598,1781708691090938
1781708750246918,59111690,1781708691135228
1781708750294216,59111780,1781708691182436
1781708750333274,59111930,1781708691221344
1781708750377502,59112149,1781708691265353
1781708750416444,59112241,1781708691304203
1781708750458341,59112330,1781708691346011
1781708750496930,59112422,1781708691384508
1781708750541408,59112512,1781708691428896
1781708750585912,59112662,1781708691473250
1781708750630292,59112881,1781708691517411
1781708750669229,59112974,1781708691556255
1781708750713617,59113063,1781708691600554
1781708750752496,59113155,1781708691639341
1781708750794350,59113245,1781708691681105
1781708750833067,59113395,1781708691719672
1781708750883095,59113614,1781708691769481
1781708750924734,59113706,1781708691811028
1781708750974643,59411199,1781708691563444
1781708751016509,59493074,1781708691523435
